species,Order,Family,ECV,ResidECV,mass,Source
Accipiter_gentilis,Accipitriformes,,6628,,912000,Ksepka et al. 
Aegypius_monachus,Accipitriformes,,19697,,9750000,Ksepka et al. 
Aquila_chrysaetos,Accipitriformes,,19232,,4263000,Ksepka et al. 
Buteo_buteo,Accipitriformes,,7856.74,,875000,Ksepka et al. 
Buteo_jamaicensis,Accipitriformes,,9740,,1028000,Ksepka et al. 
Circus_cyaneus,Accipitriformes,,3928.72,,365000,Ksepka et al. 
Coragyps_atratus,Accipitriformes,,8683.49,,2159000,Ksepka et al. 
Elanus_leucurus,Accipitriformes,,2960.35,,346000,Ksepka et al. 
Gypohierax_angolensis,Accipitriformes,,9184,,1600000,Ksepka et al. 
Haliaeetus_leucocephalus,Accipitriformes,,17690.3,,5350000,Ksepka et al. 
Milvus_migrans,Accipitriformes,,8165,,567000,Ksepka et al. 
Pandion_haliaetus,Accipitriformes,,10151.38,,1485500,Ksepka et al. 
Sagittarius_serpentarius,Accipitriformes,,12912.27,,4017000,Ksepka et al. 
Vultur_gryphus,Accipitriformes,,27099.93,,11300000,Ksepka et al. 
Aix_sponsa,Anseriformes,,4096.21,,681000,Ksepka et al. 
Anas_georgica,Anseriformes,,3885,,632000,Ksepka et al. 
Anas_laysanensis,Anseriformes,,3451.4,,456000,Ksepka et al. 
Anas_platyrhynchos,Anseriformes,,6801.32,,1246000,Ksepka et al. 
Anas_poecilorhyncha,Anseriformes,,6127,,1156000,Ksepka et al. 
Anas_strepera,Anseriformes,,3922.3,,968000,Ksepka et al. 
Anseranas_semipalmata,Anseriformes,,8692,,2071000,Ksepka et al. 
Aythya_fuligula,Anseriformes,,5351,,701000,Ksepka et al. 
Aythya_marila,Anseriformes,,5799,,1054000,Ksepka et al. 
Chauna_chavaria,Anseriformes,,7690.75,,3090000,Ksepka et al. 
Chauna_torquata,Anseriformes,,7072,,4400000,Ksepka et al. 
Chloephaga_picta,Anseriformes,,6340,,3105000,Ksepka et al. 
Coscoroba_coscoroba,Anseriformes,,9740,,4854000,Ksepka et al. 
Cygnus_olor,Anseriformes,,16635.23,,11800000,Ksepka et al. 
Dendrocygna_viduata,Anseriformes,,3732,,690000,Ksepka et al. 
Lophodytes_cucullatus,Anseriformes,,5100.39,,554000,Ksepka et al. 
Mergus_serrator,Anseriformes,,4443.61,,1135000,Ksepka et al. 
Oxyura_jamaicensis,Anseriformes,,4108.95,,629000,Ksepka et al. 
Tachyeres_leucocephalus,Anseriformes,,10856,,3013000,Ksepka et al. 
Tadorna_ferruginea,Anseriformes,,4892,,1368000,Ksepka et al. 
Apus_apus,Apodiformes,,707.83,,37600,Ksepka et al. 
Hemiprocne_mystacea,Apodiformes,,1050.5,,70100,Ksepka et al. 
Phaethornis_superciliosus,Apodiformes,,233.01,,6300,Ksepka et al. 
Selasphorus_rufus,Apodiformes,,157.29,,3500,Ksepka et al. 
Balaeniceps_rex,Balenicepitidae,,28460.5,,5984000,Ksepka et al. 
Bucorvus_abyssinicus,Bucerotiformes,,22044.55,,4000000,Ksepka et al. 
Bucorvus_leadbeateri,Bucerotiformes,,32173,,4191000,Ksepka et al. 
Ceratogymna_albotibialis_(=Ceratogymna_subcylindrica),Bucerotiformes,,11816,,1286000,Ksepka et al. 
