SPECIES,ID,ECV,skull.length,mating.system
Astrapia_mayerii,NHMD 616069,3815.72,24.25,poly
Astrapia_rothschildi,NHMUK.1932.7.8.1,3261.37,23.23,poly
Cicinnurus_magnificus,NHMUK.A-1992.31.2,2727.05,26.94,poly
Cicinnurus_regius,RMNH.AVES.6094,1557.87,17.16,poly
Cicinnurus_respublica,S1955.23.5,1663.59,17.2,poly
Cicinnurus_respublica,NHMUK.A-OH 231,1618.24,21.53,poly
Cicinnurus_respublica,NHMUK.A-OH 232,1593.79,18.09,poly
Lophorina_superba,NHMUK.S1955.23.1,1956.85,21.16,poly
Lophorina_superba,NHMUK.A-1975.32.1,2044.18,19.99,poly
Lycocorax_phyrropterus,USNM 507775 ,5048.42,29.81,mono
Manucodia_ater,YPM ORN 120671,3316.77,25.43,mono
Manucodia_chalybatus,Vertebrates:436.k,3829.01,32.1,mono
Manucodia_chalybatus,RMNH:AVES.254963,3205.61,23.21,mono
Manucodia_chalybatus,RMNH.AVES.256124,3336.89,28.12,mono
Manucodia_comrii,NHMUK.S1972.1.150,4960.69,32.1,mono
Paradisaea_raggiana,NHMUK.1903.12.2.1,3578.6,27.08,poly
Paradisaea_raggiana,NHMUK.1921.11.28.4,3557.44,25.69,poly
Paradisaea_raggiana,NHMUK.2021.25.1,4088.5,23.9,poly
Paradisea_apoda,NHMUK.1929.11.11.3,3680.22,28.12,poly
Paradisea_apoda,NHMUK.1906.10.3.1,3752.93,28.04,poly
Paradisea_apoda,NHMUK:ZOO:1944.12.23.12 ,4024.44,25.67,poly
Paradisea_minor,NHMUK.1908.2.7.1,3390.25,26.57,poly
Paradisea_minor,NHMUK.1864.7.18.12,3384.8,26.8,poly
Paradisea_minor,436.U,3474.53,22.52,poly
Paradisea_rubra,NHMUK.S1992.28.4,2945.03,24.22,poly
Paradisea_rubra,NHMUK.1927.11.17.2,2783.04,24.57,poly
Paradisea_rubra,NHMUK.1927.11.17.1,2974.51,26.3,poly
Parotia_lawesii,NHMUK.S1955.23.2,3954.77,24.81,poly
Phonygammus_keraudrenii,S1955.23.7,2994.37,25.63,mono
Phonygammus_keraudrenii,1916.5.30.1471,3367.45,25.73,mono
Phonygammus_keraudrenii,A-1987.16.2,3689.48,26.59,mono
Pteridophora_alberti,RMNH.AVES.254387,2260.26,19.98,poly
Ptiloris_magnificus,NHMUK.S2003.16.2,3637.8,24.82,poly
Ptiloris_paradiseus,NHMUK.1925.11.1.1391,2966.19,22.73,poly
Ptiloris_victoriae,O27902,2512.25,20.75,poly
Seleucidis_melonaleucus,436.f,3380.51,26.22,poly
Seleucidis_melonaleucus,RMNH.AVES.255080,3155.69,24.82,poly
Semioptera_wallacii,436.W,3529.62,21.17,poly
Semioptera_wallacii,NHMUK.1927.4.15.1,2930.2,23.9,poly
