species,Taxon,logBRAIN,logMASS,BRAIN,MASS
Abroscopus_albogularis,Other Passeriformes,-1.079,1.609,0.339935291,4.997810917
Acanthagenys_rufogularis,Other Passeriformes,0.144,3.915,1.154884109,50.14907151
Acanthiza_chrysorrhoa,Other Passeriformes,-0.777,2.303,0.459783294,10.00414993
Acanthiza_ewingii,Other Passeriformes,-0.462,1.386,0.63002234,3.998822729
Acanthiza_inornata,Other Passeriformes,-0.821,2.14,0.439991443,8.499437629
Acanthiza_lineata,Other Passeriformes,-0.664,1.906,0.514788058,6.726130396
Acanthiza_nana,Other Passeriformes,-0.994,1.981,0.370093353,7.249989351
Acanthiza_pusilla,Other Passeriformes,-0.817,1.89,0.441754933,6.619368681
Acanthiza_reguloides,Other Passeriformes,-0.904,2.015,0.404946629,7.500727381
Acanthiza_uropygialis,Other Passeriformes,-0.994,1.872,0.370093353,6.501285977
Acanthorhynchus_tenuirostris,Other Passeriformes,-0.4,2.11,0.670320046,8.248241285
Acridotheres_tristis,Other Passeriformes,0.906,4.687,2.474405091,108.5271096
Acrocephalus_arundinaceus,Other Passeriformes,-0.122,3.084,0.885148369,21.84561031
Acrocephalus_schoenobaenus,Other Passeriformes,-0.829,2.378,0.436485554,10.78331465
Aegithina_tiphia,Other Passeriformes,-0.421,2.511,0.656390101,12.31724115
Aethopyga_nipalensis,Other Passeriformes,-1.101,1.792,0.332538379,6.001443358
Agelaioides_badius,Other Passeriformes,0.438,3.681,1.549604907,39.6860603
Agelaius_phoeniceus,Other Passeriformes,0.525,4.182,1.690458848,65.49671574
Ailuroedus_crassirostris,Other Passeriformes,1.432,5.503,4.187064953,245.4271103
Ailuroedus_melanotis,Other Passeriformes,1.482,5.106,4.401740364,165.0089971
Alcippe_nipalensis,Other Passeriformes,-0.111,2.613,0.894938749,13.63990926
Amalocichla_incerta,Other Passeriformes,0.095,3.277,1.099658855,26.49616485
Amandava_amandava,Other Passeriformes,-1.008,2.095,0.364948146,8.12544097
Amblycercus_holosericeus,Other Passeriformes,0.795,4.203,2.214440997,66.88669042
Amblyornis_macgregoriae,Other Passeriformes,1.274,4.816,3.575124497,123.4702208
Amblyramphus_holosericeus,Other Passeriformes,0.844,4.234,2.325651,68.99265157
Amphispiza_bilineata,Other Passeriformes,-0.38,2.624,0.683861409,13.79077651
Anthochaera_carunculata,Other Passeriformes,0.805,4.686,2.236696499,108.4186368
Anthochaera_chrysoptera,Other Passeriformes,0.633,4.194,1.883251869,66.28741101
Anthreptes_malacensis,Other Passeriformes,-0.54,2.479,0.582748252,11.92932912
Anthus_novaeseelandiae,Other Passeriformes,-0.169,3.327,0.844508903,27.85465228
Anthus_trivialis,Other Passeriformes,-0.507,2.911,0.60229977,18.37516455
Anumbius_annumbi,Other Passeriformes,0.235,3.701,1.264908769,40.48777189
Aphelocephala_leucopsis,Other Passeriformes,-0.673,2.557,0.510175752,12.89706802
Aphelocephala_nigricincta,Other Passeriformes,-0.755,2.542,0.470010615,12.70505569
Aphelocoma_coerulescens,Corvidae,1.044,4.38,2.840556546,79.83803341
Aphelocoma_ultramarina,Corvidae,1.298,4.855,3.661965408,128.3806912
Aphrastura_spinicauda,Other Passeriformes,-0.226,2.439,0.797718102,11.46157344
Arachnothera_longirostra,Other Passeriformes,-0.66,2.455,0.516851334,11.64643355
Arremon_aurantiirostris,Other Passeriformes,0.166,3.476,1.180573102,32.33014252
Arremon_brunneinucha,Other Passeriformes,0.438,3.801,1.549604907,44.74590804
Arremonops_conirostris,Other Passeriformes,0.243,3.619,1.275068624,37.30024892
Arses_telescophthalmus,Other Passeriformes,-0.478,2.639,0.620022197,13.99919741
Artamus_cinereus,Other Passeriformes,-0.07,3.638,0.93239382,38.01572918
Artamus_cyanopterus,Other Passeriformes,0.014,3.57,1.014098459,35.51659315
Artamus_leucorynchus,Other Passeriformes,0.072,3.82,1.074655344,45.60420832
Artamus_maximus,Other Passeriformes,0.501,4.19,1.650370817,66.02279096
Artamus_minor,Other Passeriformes,-0.664,2.708,0.514788058,14.999247
Artamus_personatus,Other Passeriformes,0.046,3.597,1.047074411,36.48860427
Artamus_superciliosus,Other Passeriformes,-0.003,3.669,0.997004496,39.21267357
Attila_spadiceus,Other Passeriformes,0.163,3.503,1.17703669,33.21494748
Auriparus_flaviceps,Other Passeriformes,-0.844,1.912,0.42998713,6.766608491
Automolus_infuscatus,Other Passeriformes,0.11,3.5,1.11627807,33.11545196
Automolus_ochrolaemus,Other Passeriformes,0.104,3.508,1.109600455,33.3814381
Baeolophus_bicolor,Other Passeriformes,-0.073,3.144,0.92960083,23.1964674
Basileuterus_culicivorus,Other Passeriformes,-0.558,2.18,0.572352625,8.846306259
Batis_capensis,Other Passeriformes,-0.371,2.398,0.690043942,11.00115206
Bombycilla_cedrorum,Other Passeriformes,-0.111,3.423,0.894938749,30.66126097
Bombycilla_garrulus,Other Passeriformes,0.167,4.054,1.181754265,57.62750667
Brachypteryx_montana,Other Passeriformes,-0.186,2.89,0.830273595,17.9933096
Calamanthus_fuliginosus,Other Passeriformes,-0.357,2.565,0.699772498,13.00065837
Calamospiza_melanocorys,Other Passeriformes,0.14,3.597,1.150273799,36.48860427
Calandrella_cinerea,Other Passeriformes,-0.383,2.974,0.681812899,19.57004342
Campephaga_phoenicea,Other Passeriformes,0.03,3.584,1.030454534,36.01732238
Campylorhamphus_pusillus,Other Passeriformes,0.291,3.77,1.337764584,43.38006484
Campylorhynchus_brunneicapillus,Other Passeriformes,0.281,3.661,1.324453604,38.90022365
Cardellina_rubrifrons,Other Passeriformes,-0.834,2.11,0.434308573,8.248241285
Carduelis_carduelis,Other Passeriformes,-0.4,2.584,0.670320046,13.25003243
Carduelis_flammea,Other Passeriformes,-0.548,2.551,0.578104865,12.81991729
Carduelis_pinus,Other Passeriformes,-0.582,2.546,0.558779689,12.75597769
Carpodacus_mexicanus,Other Passeriformes,-0.261,2.977,0.77028092,19.6288417
Carpodacus_purpureus,Other Passeriformes,-0.119,3.201,0.887807801,24.557075
Caryothraustes_poliogaster,Other Passeriformes,0.354,3.624,1.424755186,37.48721719
Catharus_fuscescens,Other Passeriformes,-0.105,3.503,0.900324523,33.21494748
Cercomacra_nigrescens,Other Passeriformes,-0.205,2.725,0.814647316,15.25641393
Cercomacra_tyrannina,Other Passeriformes,-0.299,2.811,0.741559409,16.62653644
Certhia_familiaris,Other Passeriformes,-0.942,2.015,0.38984736,7.500727381
Certhiaxis_cinnamomeus,Other Passeriformes,-0.377,2.694,0.685916074,14.79072063
Certhionyx_niger,Other Passeriformes,-0.892,2.389,0.409835262,10.9025859
Certhionyx_variegatus,Other Passeriformes,-0.02,3.157,0.980198673,23.4999901
Chamaea_fasciata,Other Passeriformes,-0.342,2.61,0.710348205,13.59905085
Cheramoeca_leucosterna,Other Passeriformes,-0.821,2.485,0.439991443,12.00112025
Chersomanes_albofasciata,Other Passeriformes,0.01,3.526,1.010050167,33.98774437
